,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.2,0.204,0.21,0.175,
Normalized EBITDA,1270972000.0,1217665000.0,1011730000.0,1037058000.0,
Net Income From Continuing Operation Net Minority Interest,887867000.0,845042000.0,679089000.0,744845000.0,
Reconciled Depreciation,129936000.0,114908000.0,111900000.0,104596000.0,
Reconciled Cost Of Revenue,1518577000.0,1470983000.0,1362986000.0,1325928000.0,
EBITDA,1270972000.0,1217665000.0,1011730000.0,1037058000.0,
EBIT,1141036000.0,1102757000.0,899830000.0,932462000.0,
Net Interest Income,-18506000.0,-35952000.0,-38793000.0,-29374000.0,
Interest Expense,31205000.0,41581000.0,39858000.0,29808000.0,
Interest Income,12699000.0,5629000.0,1065000.0,434000.0,
Normalized Income,887867000.0,845042000.0,679089000.0,744845000.0,
Net Income From Continuing And Discontinued Operation,887867000.0,845042000.0,679089000.0,744845000.0,
Total Expenses,2769167000.0,2563825000.0,2468559000.0,2283332000.0,
Total Operating Income As Reported,1128337000.0,1097128000.0,898765000.0,932028000.0,
Diluted Average Shares,83246000.0,83978000.0,84600000.0,86572000.0,
Basic Average Shares,82467000.0,83066000.0,83623000.0,85200000.0,
Diluted EPS,10.67,10.06,8.03,8.6,
Basic EPS,10.77,10.17,8.12,8.74,
Diluted NI Availto Com Stockholders,887867000.0,845042000.0,679089000.0,744845000.0,
Net Income Common Stockholders,887867000.0,845042000.0,679089000.0,744845000.0,
Net Income,887867000.0,845042000.0,679089000.0,744845000.0,
Minority Interests,,0.0,0.0,1000.0,-355000.0
Net Income Including Noncontrolling Interests,887867000.0,845042000.0,679089000.0,744844000.0,
Net Income Continuous Operations,887867000.0,845042000.0,679089000.0,744844000.0,
Tax Provision,221964000.0,216134000.0,180883000.0,157810000.0,
Pretax Income,1109831000.0,1061176000.0,859972000.0,902654000.0,
Net Non Operating Interest Income Expense,-18506000.0,-35952000.0,-38793000.0,-29374000.0,
Interest Expense Non Operating,31205000.0,41581000.0,39858000.0,29808000.0,
Interest Income Non Operating,12699000.0,5629000.0,1065000.0,434000.0,
Operating Income,1128337000.0,1097128000.0,898765000.0,932028000.0,
Operating Expense,1250590000.0,1092842000.0,1105573000.0,957404000.0,
Research And Development,219792000.0,190951000.0,254820000.0,161009000.0,
Selling General And Administration,1030798000.0,901891000.0,850753000.0,796395000.0,
Selling And Marketing Expense,588507000.0,566066000.0,524505000.0,486735000.0,
General And Administrative Expense,442291000.0,335825000.0,326248000.0,309660000.0,
Other Gand A,442291000.0,335825000.0,326248000.0,309660000.0,
Gross Profit,2378927000.0,2189970000.0,2004338000.0,1889432000.0,
Cost Of Revenue,1518577000.0,1470983000.0,1362986000.0,1325928000.0,
Total Revenue,3897504000.0,3660953000.0,3367324000.0,3215360000.0,
Operating Revenue,3897504000.0,3660953000.0,3367324000.0,3215360000.0,
