,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.239921,0.240688,0.288,0.247,
Normalized EBITDA,12597000000.0,13581000000.0,12177000000.0,13987000000.0,
Total Unusual Items,,,0.0,0.0,-1060000000.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,-1060000000.0
Net Income From Continuing Operation Net Minority Interest,6957000000.0,7726000000.0,6437000000.0,8442000000.0,
Reconciled Depreciation,1972000000.0,1923000000.0,1981000000.0,1882000000.0,
Reconciled Cost Of Revenue,55554000000.0,57327000000.0,64587000000.0,63974000000.0,
EBITDA,12597000000.0,13581000000.0,12177000000.0,13987000000.0,
EBIT,10625000000.0,11658000000.0,10196000000.0,12105000000.0,
Net Interest Income,-1313000000.0,-1382000000.0,-1123000000.0,-885000000.0,
Interest Expense,1472000000.0,1483000000.0,1160000000.0,897000000.0,
Interest Income,159000000.0,101000000.0,37000000.0,12000000.0,
Normalized Income,6957000000.0,7726000000.0,6437000000.0,8442000000.0,
Net Income From Continuing And Discontinued Operation,6957000000.0,7726000000.0,6437000000.0,8442000000.0,
Total Expenses,73208000000.0,74820000000.0,86900000000.0,84157000000.0,
Total Operating Income As Reported,10466000000.0,11557000000.0,10159000000.0,12093000000.0,
Diluted Average Shares,567457073.0,583787879.0,630875123.0,699000000.0,
Basic Average Shares,567000000.0,582000000.0,629000000.0,696000000.0,
Diluted EPS,12.23,13.2,10.17,12.04,
Basic EPS,12.25,13.23,10.2,12.07,
Diluted NI Availto Com Stockholders,6940000000.0,7706000000.0,6416000000.0,8409000000.0,
Net Income Common Stockholders,6940000000.0,7706000000.0,6416000000.0,8409000000.0,
Otherunder Preferred Stock Dividend,17000000.0,20000000.0,21000000.0,33000000.0,
Net Income,6957000000.0,7726000000.0,6437000000.0,8442000000.0,
Net Income Including Noncontrolling Interests,6957000000.0,7726000000.0,6437000000.0,8442000000.0,
Net Income Continuous Operations,6957000000.0,7726000000.0,6437000000.0,8442000000.0,
Tax Provision,2196000000.0,2449000000.0,2599000000.0,2766000000.0,
Pretax Income,9153000000.0,10175000000.0,9036000000.0,11208000000.0,
Other Income Expense,,,,,-1060000000.0
Special Income Charges,,,0.0,0.0,-1060000000.0
Other Special Charges,,,,,1060000000.0
Net Non Operating Interest Income Expense,-1313000000.0,-1382000000.0,-1123000000.0,-885000000.0,
Total Other Finance Cost,,,,,20000000.0
Interest Expense Non Operating,1472000000.0,1483000000.0,1160000000.0,897000000.0,
Interest Income Non Operating,159000000.0,101000000.0,37000000.0,12000000.0,
Operating Income,10466000000.0,11557000000.0,10159000000.0,12093000000.0,
Operating Expense,17411000000.0,17287000000.0,22098000000.0,19963000000.0,
Depreciation Amortization Depletion Income Statement,1729000000.0,1717000000.0,1766000000.0,1662000000.0,
Depreciation And Amortization In Income Statement,1729000000.0,1717000000.0,1766000000.0,1662000000.0,
Selling General And Administration,15682000000.0,15570000000.0,20332000000.0,18301000000.0,
Gross Profit,27877000000.0,28844000000.0,32257000000.0,32056000000.0,
Cost Of Revenue,55797000000.0,57533000000.0,64802000000.0,64194000000.0,
Total Revenue,83674000000.0,86377000000.0,97059000000.0,96250000000.0,
Operating Revenue,82472000000.0,85099000000.0,95570000000.0,94719000000.0,
