,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,19400.650915,-993092.071348,-18989072.512648,-81351000.0
Tax Rate For Calcs,0.194007,0.230952,0.132884,0.27
Normalized EBITDA,3436300000.0,4106800000.0,3014400000.0,2133900000.0
Total Unusual Items,100000.0,-4300000.0,-142900000.0,-301300000.0
Total Unusual Items Excluding Goodwill,100000.0,-4300000.0,-142900000.0,-301300000.0
Net Income From Continuing Operation Net Minority Interest,1906900000.0,2237700000.0,1285500000.0,349400000.0
Reconciled Depreciation,879500000.0,998400000.0,1143500000.0,1153300000.0
Reconciled Cost Of Revenue,2364600000.0,2412300000.0,2090300000.0,1838600000.0
EBITDA,3436400000.0,4102500000.0,2871500000.0,1832600000.0
EBIT,2556900000.0,3104100000.0,1728000000.0,679300000.0
Net Interest Income,-190700000.0,-201800000.0,-256500000.0,-355200000.0
Interest Expense,191000000.0,194400000.0,245500000.0,339800000.0
Interest Income,7600000.0,2100000.0,500000.0,1700000.0
Normalized Income,1906819400.650915,2241006907.928652,1409410927.487352,569349000.0
Net Income From Continuing And Discontinued Operation,1906900000.0,2237700000.0,1285500000.0,349400000.0
Total Expenses,5075700000.0,5326700000.0,4941800000.0,4438600000.0
Total Operating Income As Reported,2571000000.0,3116000000.0,1849600000.0,998100000.0
Diluted Average Shares,548000000.0,557300000.0,565900000.0,541200000.0
Basic Average Shares,542000000.0,550400000.0,552300000.0,519200000.0
Diluted EPS,3.48,4.02,2.27,0.645
Basic EPS,3.52,4.07,2.33,0.675
Diluted NI Availto Com Stockholders,1906900000.0,2237700000.0,1285500000.0,349400000.0
Net Income Common Stockholders,1906900000.0,2237700000.0,1285500000.0,349400000.0
Net Income,1906900000.0,2237700000.0,1285500000.0,349400000.0
Net Income Including Noncontrolling Interests,1906900000.0,2237700000.0,1285500000.0,349400000.0
Net Income Continuous Operations,1906900000.0,2237700000.0,1285500000.0,349400000.0
Tax Provision,459000000.0,672000000.0,197000000.0,-9900000.0
Pretax Income,2365900000.0,2909700000.0,1482500000.0,339500000.0
Other Income Expense,-2100000.0,-500000.0,-140100000.0,-305100000.0
Other Non Operating Income Expenses,-2200000.0,3800000.0,2800000.0,-3800000.0
Special Income Charges,100000.0,-4300000.0,-142900000.0,-301300000.0
Other Special Charges,-100000.0,4300000.0,142900000.0,301300000.0
Restructuring And Mergern Acquisition,,,17000000.0,1500000.0
Earnings From Equity Interest,,,,0.0
Net Non Operating Interest Income Expense,-190700000.0,-201800000.0,-256500000.0,-355200000.0
Total Other Finance Cost,7300000.0,9500000.0,11500000.0,17100000.0
Interest Expense Non Operating,191000000.0,194400000.0,245500000.0,339800000.0
Interest Income Non Operating,7600000.0,2100000.0,500000.0,1700000.0
Operating Income,2558700000.0,3112000000.0,1879100000.0,999800000.0
Operating Expense,2437000000.0,2585900000.0,2570500000.0,2379000000.0
Depreciation Amortization Depletion Income Statement,605400000.0,669900000.0,862500000.0,932300000.0
Depreciation And Amortization In Income Statement,605400000.0,669900000.0,862500000.0,932300000.0
Amortization,605400000.0,669900000.0,862500000.0,932300000.0
Amortization Of Intangibles Income Statement,605400000.0,669900000.0,862500000.0,932300000.0
Research And Development,1097400000.0,1118300000.0,989100000.0,836400000.0
Selling General And Administration,734200000.0,797700000.0,718900000.0,610300000.0
Gross Profit,4995700000.0,5697900000.0,4449600000.0,3378800000.0
Cost Of Revenue,2638700000.0,2740800000.0,2371300000.0,2059600000.0
Total Revenue,7634400000.0,8438700000.0,6820900000.0,5438400000.0
Operating Revenue,7634400000.0,8438700000.0,6820900000.0,5438400000.0
