,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,447100.0,499700.0,-983500.0,2361600.0,
Tax Rate For Calcs,0.263,0.263,0.281,0.246,
Normalized EBITDA,2612800000.0,2417700000.0,2368800000.0,2393900000.0,
Total Unusual Items,1700000.0,1900000.0,-3500000.0,9600000.0,
Total Unusual Items Excluding Goodwill,1700000.0,1900000.0,-3500000.0,9600000.0,
Net Income From Continuing Operation Net Minority Interest,1480600000.0,1391400000.0,1316500000.0,1395600000.0,
Reconciled Depreciation,241700000.0,211100000.0,219400000.0,212100000.0,
Reconciled Cost Of Revenue,12764700000.0,11982700000.0,11607900000.0,11499700000.0,
EBITDA,2614500000.0,2419600000.0,2365300000.0,2403500000.0,
EBIT,2372800000.0,2208500000.0,2145900000.0,2191400000.0,
Net Interest Income,-148700000.0,-113700000.0,-134400000.0,-218700000.0,
Interest Expense,245200000.0,215600000.0,200500000.0,202600000.0,
Interest Income,100900000.0,106700000.0,70700000.0,27300000.0,
Normalized Income,1479347100.0,1389999700.0,1319016500.0,1388361600.0,
Net Income From Continuing And Discontinued Operation,1480600000.0,1391400000.0,1316500000.0,1395600000.0,
Total Expenses,13414500000.0,12587500000.0,12205800000.0,12091500000.0,
Rent Expense Supplemental,1274400000.0,1168800000.0,1168600000.0,1148200000.0,
Total Operating Income As Reported,2274600000.0,2104700000.0,2083300000.0,2197900000.0,
Diluted Average Shares,198600000.0,201400000.0,207000000.0,215600000.0,
Basic Average Shares,196400000.0,199340974.0,205600000.0,214300000.0,
Diluted EPS,7.46,6.91,6.36,6.53,
Basic EPS,7.54,6.98,6.4,6.57,
Diluted NI Availto Com Stockholders,1480600000.0,1391400000.0,1316500000.0,1395600000.0,
Net Income Common Stockholders,1480600000.0,1391400000.0,1316500000.0,1395600000.0,
Net Income,1480600000.0,1391400000.0,1316500000.0,1395600000.0,
Minority Interests,-93400000.0,-81800000.0,-87300000.0,-112000000.0,
Net Income Including Noncontrolling Interests,1574000000.0,1473200000.0,1403800000.0,1507600000.0,
Net Income Continuous Operations,1574000000.0,1473200000.0,1403800000.0,1507600000.0,
Earnings From Equity Interest Net Of Tax,6900000.0,5200000.0,5200000.0,7500000.0,
Tax Provision,560500000.0,524900000.0,546800000.0,488700000.0,
Pretax Income,2127600000.0,1992900000.0,1945400000.0,1988800000.0,
Other Income Expense,1700000.0,1900000.0,-3500000.0,9600000.0,
Other Non Operating Income Expenses,,,,,8100000.0
Gain On Sale Of Security,1700000.0,1900000.0,-3500000.0,9600000.0,
Net Non Operating Interest Income Expense,-148700000.0,-113700000.0,-134400000.0,-218700000.0,
Total Other Finance Cost,4400000.0,4800000.0,4600000.0,43400000.0,
Interest Expense Non Operating,245200000.0,215600000.0,200500000.0,202600000.0,
Interest Income Non Operating,100900000.0,106700000.0,70700000.0,27300000.0,
Operating Income,2274600000.0,2104700000.0,2083300000.0,2197900000.0,
Operating Expense,649800000.0,604800000.0,597900000.0,591800000.0,
Depreciation Amortization Depletion Income Statement,241700000.0,211100000.0,219400000.0,212100000.0,
Depreciation And Amortization In Income Statement,241700000.0,211100000.0,219400000.0,212100000.0,
Selling General And Administration,408100000.0,393700000.0,378500000.0,379700000.0,
Gross Profit,2924400000.0,2709500000.0,2681200000.0,2789700000.0,
Cost Of Revenue,12764700000.0,11982700000.0,11607900000.0,11499700000.0,
Total Revenue,15689100000.0,14692200000.0,14289100000.0,14289400000.0,
Operating Revenue,15689100000.0,14692200000.0,14289100000.0,14289400000.0,
