,2024-05-31,2023-05-31,2022-05-31,2021-05-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.238,0.24,0.237,0.234765
Normalized EBITDA,2431800000.0,2261500000.0,2053000000.0,1662000000.0
Net Income From Continuing Operation Net Minority Interest,1690400000.0,1557300000.0,1392800000.0,1097500000.0
Reconciled Depreciation,176500000.0,176600000.0,191800000.0,192000000.0
Reconciled Cost Of Revenue,1479300000.0,1453000000.0,1356300000.0,1271200000.0
EBITDA,2431800000.0,2261500000.0,2053000000.0,1662000000.0
EBIT,2255300000.0,2084900000.0,1861200000.0,1470000000.0
Net Interest Income,45400000.0,12400000.0,-33700000.0,-33500000.0
Interest Expense,37300000.0,36700000.0,36600000.0,35800000.0
Interest Income,82700000.0,49100000.0,2900000.0,2300000.0
Normalized Income,1690400000.0,1557300000.0,1392800000.0,1097500000.0
Net Income From Continuing And Discontinued Operation,1690400000.0,1557300000.0,1392800000.0,1097500000.0
Total Expenses,3104200000.0,2974000000.0,2771700000.0,2596100000.0
Total Operating Income As Reported,2174100000.0,2033100000.0,1840000000.0,1460700000.0
Diluted Average Shares,362100000.0,362300000.0,363100000.0,362100000.0
Basic Average Shares,360300000.0,360400000.0,360600000.0,359900000.0
Diluted EPS,4.67,4.3,3.84,3.03
Basic EPS,4.69,4.32,3.86,3.05
Diluted NI Availto Com Stockholders,1690400000.0,1557300000.0,1392800000.0,1097500000.0
Net Income Common Stockholders,1690400000.0,1557300000.0,1392800000.0,1097500000.0
Net Income,1690400000.0,1557300000.0,1392800000.0,1097500000.0
Net Income Including Noncontrolling Interests,1690400000.0,1557300000.0,1392800000.0,1097500000.0
Net Income Continuous Operations,1690400000.0,1557300000.0,1392800000.0,1097500000.0
Tax Provision,527600000.0,490900000.0,431800000.0,336700000.0
Pretax Income,2218000000.0,2048200000.0,1824600000.0,1434200000.0
Other Income Expense,-1500000.0,2700000.0,18300000.0,7000000.0
Other Non Operating Income Expenses,-1500000.0,2700000.0,18300000.0,7000000.0
Net Non Operating Interest Income Expense,45400000.0,12400000.0,-33700000.0,-33500000.0
Interest Expense Non Operating,37300000.0,36700000.0,36600000.0,35800000.0
Interest Income Non Operating,82700000.0,49100000.0,2900000.0,2300000.0
Operating Income,2174100000.0,2033100000.0,1840000000.0,1460700000.0
Operating Expense,1624900000.0,1521000000.0,1415400000.0,1324900000.0
Selling General And Administration,1624900000.0,1521000000.0,1415400000.0,1324900000.0
Gross Profit,3799000000.0,3554100000.0,3255400000.0,2785600000.0
Cost Of Revenue,1479300000.0,1453000000.0,1356300000.0,1271200000.0
Total Revenue,5278300000.0,5007100000.0,4611700000.0,4056800000.0
Operating Revenue,5132000000.0,4907300000.0,4554000000.0,3997500000.0
