,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,10365773.0,-16311228.0,1317385.0,26834036.0
Tax Rate For Calcs,0.209,0.222,0.185,0.223
Normalized EBITDA,4978632000.0,4145161000.0,2434121000.0,2972051000.0
Total Unusual Items,49597000.0,-73474000.0,7121000.0,120332000.0
Total Unusual Items Excluding Goodwill,49597000.0,-73474000.0,7121000.0,120332000.0
Net Income From Continuing Operation Net Minority Interest,2844215000.0,2082936000.0,1315605000.0,1746100000.0
Reconciled Depreciation,927131000.0,818129000.0,571764000.0,595390000.0
Reconciled Cost Of Revenue,12801816000.0,12635892000.0,10550309000.0,9604522000.0
EBITDA,5028229000.0,4071687000.0,2441242000.0,3092383000.0
EBIT,4101098000.0,3253558000.0,1869478000.0,2496993000.0
Net Interest Income,-491495000.0,-527894000.0,-255252000.0,-243036000.0
Interest Expense,506495000.0,573894000.0,255252000.0,250036000.0
Interest Income,15000000.0,46000000.0,10000000.0,7000000.0
Normalized Income,2804983773.0,2140098772.0,1309801385.0,1652602036.0
Net Income From Continuing And Discontinued Operation,2844215000.0,2082936000.0,1315605000.0,1746100000.0
Total Expenses,16116993000.0,15989995000.0,13054370000.0,11987929000.0
Diluted Average Shares,130239737.0,129822085.0,130355943.0,130834478.0
Basic Average Shares,128507352.0,128367842.0,128539387.0,128999879.0
Diluted EPS,21.84,16.04,10.09,13.35
Basic EPS,22.13,16.23,10.24,13.54
Diluted NI Availto Com Stockholders,2844215000.0,2082936000.0,1315605000.0,1746100000.0
Net Income Common Stockholders,2844215000.0,2082936000.0,1315605000.0,1746100000.0
Net Income,2844215000.0,2082936000.0,1315605000.0,1746100000.0
Minority Interests,-721000.0,-600000.0,-581000.0,-761000.0
Net Income Including Noncontrolling Interests,2844936000.0,2083536000.0,1316186000.0,1746861000.0
Net Income Continuous Operations,2844936000.0,2083536000.0,1316186000.0,1746861000.0
Tax Provision,749667000.0,596128000.0,298040000.0,500096000.0
Pretax Income,3594603000.0,2679664000.0,1614226000.0,2246957000.0
Other Income Expense,273597000.0,132526000.0,-937760000.0,130332000.0
Other Non Operating Income Expenses,72000000.0,82000000.0,-944881000.0,-31000000.0
Special Income Charges,11597000.0,362526000.0,7121000.0,109332000.0
Gain On Sale Of Ppe,11597000.0,362526000.0,7121000.0,109332000.0
Other Special Charges,,,8000000.0,
Restructuring And Mergern Acquisition,,0.0,52000000.0,0.0
Earnings From Equity Interest,152000000.0,124000000.0,76000000.0,41000000.0
Gain On Sale Of Security,38000000.0,-436000000.0,-1015000000.0,11000000.0
Net Non Operating Interest Income Expense,-491495000.0,-527894000.0,-255252000.0,-243036000.0
Interest Expense Non Operating,506495000.0,573894000.0,255252000.0,250036000.0
Interest Income Non Operating,15000000.0,46000000.0,10000000.0,7000000.0
Operating Income,3812613000.0,3075199000.0,2807238000.0,2359711000.0
Operating Expense,3315177000.0,3354103000.0,2504061000.0,2383407000.0
Selling General And Administration,3315177000.0,3354103000.0,2504061000.0,2383407000.0
General And Administrative Expense,3315177000.0,3354103000.0,2504061000.0,2383407000.0
Other Gand A,3315177000.0,3354103000.0,2504061000.0,2383407000.0
Salaries And Wages,-73000000.0,-67000000.0,4000000.0,49000000.0
Gross Profit,7127790000.0,6429302000.0,5311299000.0,4743118000.0
Cost Of Revenue,12801816000.0,12635892000.0,10550309000.0,9604522000.0
Total Revenue,19929606000.0,19065194000.0,15861608000.0,14347640000.0
Operating Revenue,19929606000.0,19065194000.0,15861608000.0,14347640000.0
