,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,9180000.0,-18706000.0,5060000.0,-6210000.0,
Tax Rate For Calcs,0.204,0.199,0.22,0.27,
Normalized EBITDA,3166000000.0,3019000000.0,2638000000.0,2583000000.0,
Total Unusual Items,45000000.0,-94000000.0,23000000.0,-23000000.0,
Total Unusual Items Excluding Goodwill,45000000.0,-94000000.0,23000000.0,-23000000.0,
Net Income From Continuing Operation Net Minority Interest,888000000.0,740000000.0,714000000.0,18000000.0,
Reconciled Depreciation,1357000000.0,1335000000.0,1233000000.0,1121000000.0,
Reconciled Cost Of Revenue,4991000000.0,4955000000.0,4963000000.0,3031000000.0,
EBITDA,3211000000.0,2925000000.0,2661000000.0,2560000000.0,
EBIT,1854000000.0,1590000000.0,1428000000.0,1439000000.0,
Net Interest Income,-705000000.0,-634000000.0,-509000000.0,-906000000.0,
Interest Expense,738000000.0,666000000.0,513000000.0,918000000.0,
Interest Income,33000000.0,32000000.0,4000000.0,12000000.0,
Normalized Income,852180000.0,815294000.0,696060000.0,34790000.0,
Net Income From Continuing And Discontinued Operation,888000000.0,740000000.0,756000000.0,-1480000000.0,
Total Expenses,6722000000.0,6682000000.0,6528000000.0,4359000000.0,
Total Operating Income As Reported,1740000000.0,1630000000.0,1374000000.0,1424000000.0,
Diluted Average Shares,739853000.0,738166000.0,736902000.0,764819000.0,
Basic Average Shares,737756000.0,737036000.0,736027000.0,762902000.0,
Diluted EPS,1.2,1.0,1.02,-1.93,
Basic EPS,1.2,1.0,1.02,-1.93,
Diluted NI Availto Com Stockholders,886000000.0,739000000.0,755000000.0,-1480000000.0,
Net Income Common Stockholders,886000000.0,739000000.0,755000000.0,-1480000000.0,
Otherunder Preferred Stock Dividend,2000000.0,1000000.0,1000000.0,0.0,
Net Income,888000000.0,740000000.0,756000000.0,-1480000000.0,
Net Income Including Noncontrolling Interests,888000000.0,740000000.0,756000000.0,-1480000000.0,
Net Income Discontinuous Operations,0.0,0.0,42000000.0,-1498000000.0,
Net Income Continuous Operations,888000000.0,740000000.0,714000000.0,18000000.0,
Tax Provision,228000000.0,184000000.0,201000000.0,503000000.0,
Pretax Income,1116000000.0,924000000.0,915000000.0,521000000.0,
Other Income Expense,81000000.0,-72000000.0,50000000.0,3000000.0,
Other Non Operating Income Expenses,36000000.0,22000000.0,27000000.0,26000000.0,
Special Income Charges,45000000.0,-94000000.0,23000000.0,-23000000.0,
Other Special Charges,-45000000.0,94000000.0,-23000000.0,23000000.0,
Gain On Sale Of Security,,,,,-98000000.0
Net Non Operating Interest Income Expense,-705000000.0,-634000000.0,-509000000.0,-906000000.0,
Interest Expense Non Operating,738000000.0,666000000.0,513000000.0,918000000.0,
Interest Income Non Operating,33000000.0,32000000.0,4000000.0,12000000.0,
Operating Income,1740000000.0,1630000000.0,1374000000.0,1424000000.0,
Operating Expense,1653000000.0,1646000000.0,1513000000.0,1289000000.0,
Other Taxes,374000000.0,392000000.0,332000000.0,207000000.0,
Depreciation Amortization Depletion Income Statement,1279000000.0,1254000000.0,1181000000.0,1082000000.0,
Depreciation And Amortization In Income Statement,1279000000.0,1254000000.0,1181000000.0,1082000000.0,
Depreciation Income Statement,1279000000.0,1254000000.0,1181000000.0,1082000000.0,
Selling General And Administration,,-40000000.0,-47000000.0,-21000000.0,2000000.0
General And Administrative Expense,,-40000000.0,-47000000.0,-21000000.0,2000000.0
Salaries And Wages,,-40000000.0,-47000000.0,-21000000.0,2000000.0
Gross Profit,3393000000.0,3276000000.0,2887000000.0,2713000000.0,
Cost Of Revenue,5069000000.0,5036000000.0,5015000000.0,3070000000.0,
Total Revenue,8462000000.0,8312000000.0,7902000000.0,5783000000.0,
Operating Revenue,8462000000.0,8312000000.0,7902000000.0,5783000000.0,
