,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,103005.0,-1366062.0,-5049904.031223,1990717.327112,
Tax Rate For Calcs,0.105,0.019,0.21349,0.261009,
Normalized EBITDA,839272000.0,785456000.0,1206446000.0,1609526000.0,
Total Unusual Items,981000.0,-71898000.0,-23654000.0,7627000.0,
Total Unusual Items Excluding Goodwill,981000.0,-71898000.0,-23654000.0,7627000.0,
Net Income From Continuing Operation Net Minority Interest,283071000.0,179503000.0,512676000.0,889436000.0,
Reconciled Depreciation,427849000.0,431769000.0,427000000.0,311443000.0,
Reconciled Cost Of Revenue,1217367000.0,1210880000.0,1321992000.0,1393821000.0,
EBITDA,840253000.0,713558000.0,1182792000.0,1617153000.0,
EBIT,412404000.0,281789000.0,755792000.0,1305710000.0,
Net Interest Income,-23088000.0,-26682000.0,-100366000.0,-99887000.0,
Interest Expense,96278000.0,98813000.0,103955000.0,102128000.0,
Interest Income,73190000.0,72131000.0,3589000.0,2241000.0,
Normalized Income,282193005.0,250034938.0,531280095.968777,883799717.327112,
Net Income From Continuing And Discontinued Operation,270385000.0,693094000.0,569179000.0,943157000.0,
Total Expenses,2408285000.0,2450009000.0,2569123000.0,2569351000.0,
Total Operating Income As Reported,346741000.0,300562000.0,742699000.0,1258457000.0,
Diluted Average Shares,122822000.0,124812000.0,126426000.0,126241000.0,
Basic Average Shares,122756000.0,123426000.0,126300000.0,126241000.0,
Diluted EPS,2.2,5.55,4.58,7.386336,
Basic EPS,2.21,5.615462,4.585162,7.386336,
Diluted NI Availto Com Stockholders,270385000.0,693094000.0,569179000.0,943157000.0,
Net Income Common Stockholders,270385000.0,693094000.0,569179000.0,943157000.0,
Net Income,270385000.0,693094000.0,569179000.0,943157000.0,
Net Income Including Noncontrolling Interests,270385000.0,693094000.0,569179000.0,943157000.0,
Net Income Discontinuous Operations,-12686000.0,513591000.0,56503000.0,53721000.0,
Net Income Continuous Operations,283071000.0,179503000.0,512676000.0,889436000.0,
Tax Provision,33055000.0,3473000.0,139161000.0,314146000.0,
Pretax Income,316126000.0,182976000.0,651837000.0,1203582000.0,
Other Income Expense,-7527000.0,-90904000.0,9504000.0,45012000.0,
Other Non Operating Income Expenses,-8508000.0,-19006000.0,33158000.0,37385000.0,
Special Income Charges,,,,-16432000.0,-8013000.0
Gain On Sale Of Business,,,,,0.0
Restructuring And Mergern Acquisition,,,,16432000.0,8013000.0
Gain On Sale Of Security,981000.0,-71898000.0,-23654000.0,7627000.0,
Net Non Operating Interest Income Expense,-23088000.0,-26682000.0,-100366000.0,-99887000.0,
Interest Expense Non Operating,96278000.0,98813000.0,103955000.0,102128000.0,
Interest Income Non Operating,73190000.0,72131000.0,3589000.0,2241000.0,
Operating Income,346741000.0,300562000.0,742699000.0,1258457000.0,
Operating Expense,1190918000.0,1239129000.0,1247131000.0,1175530000.0,
Research And Development,196844000.0,216578000.0,221617000.0,200337000.0,
Selling General And Administration,994074000.0,1022551000.0,1025514000.0,975193000.0,
Gross Profit,1537659000.0,1539691000.0,1989830000.0,2433987000.0,
Cost Of Revenue,1217367000.0,1210880000.0,1321992000.0,1393821000.0,
Total Revenue,2755026000.0,2750571000.0,3311822000.0,3827808000.0,
Operating Revenue,2755026000.0,2750571000.0,3311822000.0,3827808000.0,
