,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-9933000.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.231,0.229,0.239,0.233,
Total Unusual Items,-43000000.0,-43000000.0,,,-87000000.0
Total Unusual Items Excluding Goodwill,-43000000.0,-43000000.0,,,-87000000.0
Net Income From Continuing Operation Net Minority Interest,3499000000.0,2238000000.0,3016000000.0,4221000000.0,
Reconciled Depreciation,481000000.0,458000000.0,419000000.0,390000000.0,
Net Interest Income,18011000000.0,16999000000.0,15625000000.0,14239000000.0,
Interest Expense,4634000000.0,3711000000.0,1521000000.0,1032000000.0,
Interest Income,22645000000.0,20710000000.0,17146000000.0,15271000000.0,
Normalized Income,3532067000.0,2238000000.0,3016000000.0,4221000000.0,
Net Income From Continuing And Discontinued Operation,3499000000.0,2238000000.0,3016000000.0,4221000000.0,
Diluted Average Shares,400600000.0,423500000.0,483400000.0,569300000.0,
Basic Average Shares,396500000.0,421200000.0,480400000.0,564600000.0,
Diluted EPS,8.55,5.19,6.15,7.34,
Basic EPS,8.64,5.21,6.19,7.4,
Diluted NI Availto Com Stockholders,3427000000.0,2196000000.0,2974000000.0,4179000000.0,
Net Income Common Stockholders,3427000000.0,2196000000.0,2974000000.0,4179000000.0,
Preferred Stock Dividends,72000000.0,42000000.0,42000000.0,42000000.0,
Net Income,3499000000.0,2238000000.0,3016000000.0,4221000000.0,
Net Income Including Noncontrolling Interests,3499000000.0,2238000000.0,3016000000.0,4221000000.0,
Net Income Continuous Operations,3499000000.0,2238000000.0,3016000000.0,4221000000.0,
Tax Provision,1054000000.0,666000000.0,946000000.0,1282000000.0,
Pretax Income,4553000000.0,2904000000.0,3962000000.0,5503000000.0,
Other Non Operating Income Expenses,,,,,-3645000000.0
Special Income Charges,-43000000.0,-43000000.0,,,-87000000.0
Restructuring And Mergern Acquisition,43000000.0,43000000.0,,,87000000.0
Selling General And Administration,2353000000.0,2411000000.0,2168000000.0,1987000000.0,
Selling And Marketing Expense,524000000.0,527000000.0,487000000.0,486000000.0,
General And Administrative Expense,1829000000.0,1884000000.0,1681000000.0,1501000000.0,
Other Gand A,,,,,492000000.0
Salaries And Wages,1829000000.0,1884000000.0,1681000000.0,1501000000.0,
Total Revenue,16125000000.0,13627000000.0,11674000000.0,10192000000.0,
Operating Revenue,16125000000.0,13627000000.0,11674000000.0,10192000000.0,
Professional Expense And Contract Services Expense,936000000.0,842000000.0,832000000.0,782000000.0,
Other Non Interest Expense,1507000000.0,1505000000.0,1337000000.0,1194000000.0,
