,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.238,0.226,0.2221,0.1035
Normalized EBITDA,4169000000.0,3701000000.0,3252000000.0,2316687000.0
Net Income From Continuing Operation Net Minority Interest,1955000000.0,1770000000.0,1359000000.0,524209000.0
Reconciled Depreciation,997000000.0,889000000.0,881000000.0,851822000.0
Reconciled Cost Of Revenue,64236000000.0,62370000000.0,56316000000.0,41941094000.0
EBITDA,4169000000.0,3701000000.0,3252000000.0,2316687000.0
EBIT,3172000000.0,2812000000.0,2371000000.0,1464865000.0
Net Interest Income,-607000000.0,-527000000.0,-624000000.0,-880137000.0
Interest Expense,607000000.0,527000000.0,624000000.0,880137000.0
Normalized Income,1955000000.0,1770000000.0,1359000000.0,524209000.0
Net Income From Continuing And Discontinued Operation,1955000000.0,1770000000.0,1359000000.0,524209000.0
Total Expenses,75642000000.0,73286000000.0,66290000000.0,49850655000.0
Total Operating Income As Reported,3202000000.0,3039000000.0,2346000000.0,1447188000.0
Diluted Average Shares,503096086.0,509719756.0,514005827.0,513555088.0
Basic Average Shares,501238422.0,507362913.0,510630645.0,510696398.0
Diluted EPS,3.89,3.47,2.64,1.02
Basic EPS,3.9,3.49,2.66,1.03
Diluted NI Availto Com Stockholders,1955000000.0,1770000000.0,1359000000.0,524209000.0
Net Income Common Stockholders,1955000000.0,1770000000.0,1359000000.0,524209000.0
Net Income,1955000000.0,1770000000.0,1359000000.0,524209000.0
Net Income Including Noncontrolling Interests,1955000000.0,1770000000.0,1359000000.0,524209000.0
Net Income Continuous Operations,1955000000.0,1770000000.0,1359000000.0,524209000.0
Tax Provision,610000000.0,515000000.0,388000000.0,60519000.0
Pretax Income,2565000000.0,2285000000.0,1747000000.0,584728000.0
Other Income Expense,-30000000.0,-227000000.0,25000000.0,17677000.0
Other Non Operating Income Expenses,-30000000.0,-227000000.0,25000000.0,17677000.0
Net Non Operating Interest Income Expense,-607000000.0,-527000000.0,-624000000.0,-880137000.0
Interest Expense Non Operating,607000000.0,527000000.0,624000000.0,880137000.0
Operating Income,3202000000.0,3039000000.0,2346000000.0,1447188000.0
Operating Expense,11406000000.0,10916000000.0,9974000000.0,7909561000.0
Gross Profit,14608000000.0,13955000000.0,12320000000.0,9356749000.0
Cost Of Revenue,64236000000.0,62370000000.0,56316000000.0,41941094000.0
Total Revenue,78844000000.0,76325000000.0,68636000000.0,51297843000.0
Operating Revenue,76344000000.0,73929000000.0,66517000000.0,48834915000.0
