,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,-11074000.0,-2430000.0,0.0,3312000.0,
Tax Rate For Calcs,0.226,0.243,0.232,0.048,
Normalized EBITDA,3862000000.0,3158000000.0,2456000000.0,1958000000.0,
Total Unusual Items,-49000000.0,-10000000.0,-13000000.0,69000000.0,
Total Unusual Items Excluding Goodwill,-49000000.0,-10000000.0,-13000000.0,69000000.0,
Net Income From Continuing Operation Net Minority Interest,1714000000.0,1298000000.0,865000000.0,680000000.0,
Reconciled Depreciation,312000000.0,268000000.0,253000000.0,253000000.0,
Reconciled Cost Of Revenue,3117000000.0,2614000000.0,2213000000.0,2169000000.0,
EBITDA,3813000000.0,3148000000.0,2456000000.0,2027000000.0,
EBIT,3501000000.0,2880000000.0,2203000000.0,1774000000.0,
Net Interest Income,-1344000000.0,-1220000000.0,-1077000000.0,-1096000000.0,
Interest Expense,1286000000.0,1164000000.0,1076000000.0,1059000000.0,
Normalized Income,1751926000.0,1305570000.0,865000000.0,614312000.0,
Net Income From Continuing And Discontinued Operation,1714000000.0,1298000000.0,866000000.0,680000000.0,
Total Expenses,4360000000.0,3652000000.0,3214000000.0,3107000000.0,
Total Operating Income As Reported,3531000000.0,2923000000.0,2215000000.0,1691000000.0,
Diluted Average Shares,57800000.0,57200000.0,58200000.0,58400000.0,
Basic Average Shares,57800000.0,57200000.0,58200000.0,58400000.0,
Diluted EPS,25.62,22.03,13.4,10.41,
Basic EPS,25.62,22.03,13.4,10.41,
Diluted NI Availto Com Stockholders,1481000000.0,1260000000.0,780000000.0,607000000.0,
Net Income Common Stockholders,1481000000.0,1260000000.0,780000000.0,607000000.0,
Otherunder Preferred Stock Dividend,233000000.0,38000000.0,86000000.0,73000000.0,
Net Income,1714000000.0,1298000000.0,866000000.0,680000000.0,
Minority Interests,-1000000.0,-1000000.0,-1000000.0,-1000000.0,
Net Income Including Noncontrolling Interests,1715000000.0,1299000000.0,867000000.0,681000000.0,
Net Income Discontinuous Operations,0.0,0.0,1000000.0,0.0,
Net Income Continuous Operations,1715000000.0,1299000000.0,866000000.0,681000000.0,
Tax Provision,500000000.0,417000000.0,261000000.0,34000000.0,
Pretax Income,2215000000.0,1716000000.0,1127000000.0,715000000.0,
Other Income Expense,-21000000.0,3000000.0,-11000000.0,120000000.0,
Other Non Operating Income Expenses,28000000.0,13000000.0,-11000000.0,51000000.0,
Special Income Charges,-49000000.0,-10000000.0,-13000000.0,69000000.0,
Gain On Sale Of Business,,0.0,7000000.0,69000000.0,0.0
Other Special Charges,,,,47000000.0,28000000.0
Write Off,3000000.0,-4000000.0,9000000.0,0.0,
Restructuring And Mergern Acquisition,46000000.0,14000000.0,11000000.0,25000000.0,
Net Non Operating Interest Income Expense,-1344000000.0,-1220000000.0,-1077000000.0,-1096000000.0,
Total Other Finance Cost,58000000.0,56000000.0,1000000.0,37000000.0,
Interest Expense Non Operating,1286000000.0,1164000000.0,1076000000.0,1059000000.0,
Operating Income,3580000000.0,2933000000.0,2215000000.0,1691000000.0,
Operating Expense,1092000000.0,909000000.0,884000000.0,822000000.0,
Depreciation Amortization Depletion Income Statement,161000000.0,139000000.0,136000000.0,137000000.0,
Depreciation And Amortization In Income Statement,161000000.0,139000000.0,136000000.0,137000000.0,
Amortization,161000000.0,139000000.0,136000000.0,137000000.0,
Amortization Of Intangibles Income Statement,161000000.0,139000000.0,136000000.0,137000000.0,
Selling General And Administration,931000000.0,770000000.0,748000000.0,685000000.0,
General And Administrative Expense,931000000.0,770000000.0,728000000.0,650000000.0,
Other Gand A,735000000.0,629000000.0,563000000.0,534000000.0,
Salaries And Wages,196000000.0,141000000.0,165000000.0,116000000.0,
Gross Profit,4672000000.0,3842000000.0,3099000000.0,2513000000.0,
Cost Of Revenue,3268000000.0,2743000000.0,2330000000.0,2285000000.0,
Total Revenue,7940000000.0,6585000000.0,5429000000.0,4798000000.0,
Operating Revenue,7940000000.0,6585000000.0,5429000000.0,4798000000.0,
