,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,418000000.0,-4659200.0,14448000.0,4416200.0,
Tax Rate For Calcs,0.25,0.128,0.21,0.142,
Normalized EBITDA,656600000.0,805000000.0,743200000.0,788800000.0,
Total Unusual Items,1672000000.0,-36400000.0,68800000.0,31100000.0,
Total Unusual Items Excluding Goodwill,1672000000.0,-36400000.0,68800000.0,31100000.0,
Net Income From Continuing Operation Net Minority Interest,1504400000.0,311300000.0,449700000.0,492800000.0,
Reconciled Depreciation,232000000.0,250600000.0,171800000.0,179900000.0,
Reconciled Cost Of Revenue,1160700000.0,1318900000.0,1445500000.0,1495400000.0,
EBITDA,2328600000.0,768600000.0,812000000.0,819900000.0,
EBIT,2096600000.0,518000000.0,640200000.0,640000000.0,
Net Interest Income,-90700000.0,-161000000.0,-71100000.0,-65400000.0,
Interest Expense,90700000.0,161000000.0,71100000.0,65400000.0,
Normalized Income,250400000.0,343040800.0,395348000.0,466116200.0,
Net Income From Continuing And Discontinued Operation,1504400000.0,311300000.0,449700000.0,492800000.0,
Total Expenses,3206700000.0,3304300000.0,3135200000.0,3087800000.0,
Total Operating Income As Reported,460700000.0,448800000.0,510900000.0,561000000.0,
Diluted Average Shares,247200000.0,249100000.0,250200000.0,254300000.0,
Basic Average Shares,245500000.0,247900000.0,248600000.0,251400000.0,
Diluted EPS,6.09,1.25,1.8,1.94,
Basic EPS,6.13,1.26,1.81,1.96,
Diluted NI Availto Com Stockholders,1504400000.0,311300000.0,449700000.0,492800000.0,
Net Income Common Stockholders,1504400000.0,311300000.0,449700000.0,492800000.0,
Net Income,1504400000.0,311300000.0,449700000.0,492800000.0,
Minority Interests,,0.0,0.0,-100000.0,-700000.0
Net Income Including Noncontrolling Interests,1504400000.0,311300000.0,449700000.0,492800000.0,
Net Income Continuous Operations,1504400000.0,311300000.0,449700000.0,492800000.0,
Tax Provision,501500000.0,45700000.0,119400000.0,81800000.0,
Pretax Income,2005900000.0,357000000.0,569100000.0,574600000.0,
Other Income Expense,1620000000.0,23600000.0,99100000.0,68700000.0,
Other Non Operating Income Expenses,-3900000.0,31900000.0,-800000.0,-100000.0,
Special Income Charges,1672000000.0,-36400000.0,68800000.0,31100000.0,
Gain On Sale Of Business,1687900000.0,9200000.0,99000000.0,41400000.0,
Restructuring And Mergern Acquisition,15900000.0,45600000.0,30200000.0,10300000.0,
Earnings From Equity Interest,-48100000.0,28100000.0,31100000.0,37700000.0,
Net Non Operating Interest Income Expense,-90700000.0,-161000000.0,-71100000.0,-65400000.0,
Interest Expense Non Operating,90700000.0,161000000.0,71100000.0,65400000.0,
Operating Income,476600000.0,494400000.0,541100000.0,571300000.0,
Operating Expense,1919700000.0,1838400000.0,1564500000.0,1463400000.0,
Depreciation Amortization Depletion Income Statement,105700000.0,103600000.0,46600000.0,50900000.0,
Depreciation And Amortization In Income Statement,105700000.0,103600000.0,46600000.0,50900000.0,
Amortization,105700000.0,103600000.0,46600000.0,50900000.0,
Amortization Of Intangibles Income Statement,105700000.0,103600000.0,46600000.0,50900000.0,
Research And Development,662300000.0,664300000.0,542100000.0,536600000.0,
Selling General And Administration,1151700000.0,1070500000.0,975800000.0,875900000.0,
Selling And Marketing Expense,603800000.0,583000000.0,553600000.0,506800000.0,
General And Administrative Expense,547900000.0,487500000.0,422200000.0,369100000.0,
Other Gand A,547900000.0,487500000.0,422200000.0,369100000.0,
Gross Profit,2396300000.0,2332800000.0,2105600000.0,2034700000.0,
Cost Of Revenue,1287000000.0,1465900000.0,1570700000.0,1624400000.0,
Total Revenue,3683300000.0,3798700000.0,3676300000.0,3659100000.0,
Operating Revenue,3683300000.0,3798700000.0,3676300000.0,3659100000.0,
