,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,15334.986978,1538004.737785,59191.944301,1172093.282112,
Tax Rate For Calcs,0.009085,0.004419,0.003756,0.008859,
Normalized EBITDA,998589000.0,1001243000.0,919572000.0,836228000.0,
Total Unusual Items,1688000.0,348055000.0,15761000.0,132304000.0,
Total Unusual Items Excluding Goodwill,1688000.0,348055000.0,15761000.0,132304000.0,
Net Income From Continuing Operation Net Minority Interest,89585000.0,444353000.0,86924000.0,150016000.0,
Reconciled Depreciation,695473000.0,691838000.0,679572000.0,619833000.0,
Reconciled Cost Of Revenue,578767000.0,558559000.0,521124000.0,456080000.0,
EBITDA,1000277000.0,1349298000.0,935333000.0,968532000.0,
EBIT,304804000.0,657460000.0,255761000.0,348699000.0,
Net Interest Income,-208048000.0,-163107000.0,-162833000.0,-171182000.0,
Interest Expense,208048000.0,180866000.0,162833000.0,186267000.0,
Interest Income,,17759000.0,,15085000.0,6274000.0
Normalized Income,87912334.986978,97836004.737785,71222191.944301,18884093.282112,
Net Income From Continuing And Discontinued Operation,89585000.0,444353000.0,86924000.0,150016000.0,
Total Expenses,1388961000.0,1340548000.0,1282333000.0,1155103000.0,
Total Operating Income As Reported,284569000.0,635008000.0,250814000.0,267968000.0,
Diluted Average Shares,330116000.0,329104000.0,322700000.0,301703000.0,
Basic Average Shares,329290000.0,328765000.0,321671000.0,300326000.0,
Diluted EPS,0.26,1.34,0.26,0.48,
Basic EPS,0.26,1.34,0.26,0.49,
Diluted NI Availto Com Stockholders,84750000.0,439505000.0,82512000.0,145787000.0,
Net Income Common Stockholders,84750000.0,439505000.0,82512000.0,145787000.0,
Preferred Stock Dividends,4835000.0,4848000.0,4412000.0,4229000.0,
Net Income,89585000.0,444353000.0,86924000.0,150016000.0,
Minority Interests,-6292000.0,-30135000.0,-5655000.0,-10977000.0,
Net Income Including Noncontrolling Interests,95877000.0,474488000.0,92579000.0,160993000.0,
Net Income Continuous Operations,95877000.0,474488000.0,92579000.0,160993000.0,
Tax Provision,879000.0,2106000.0,349000.0,1439000.0,
Pretax Income,96756000.0,476594000.0,92928000.0,162432000.0,
Other Income Expense,21923000.0,352748000.0,20708000.0,197950000.0,
Other Non Operating Income Expenses,,,-6933000.0,,
Special Income Charges,-15179000.0,-3138000.0,-9733000.0,-3748000.0,
Other Special Charges,15179000.0,3138000.0,9733000.0,3748000.0,
Earnings From Equity Interest,20235000.0,4693000.0,4947000.0,65646000.0,
Gain On Sale Of Security,16867000.0,351193000.0,25494000.0,136052000.0,
Net Non Operating Interest Income Expense,-208048000.0,-163107000.0,-162833000.0,-171182000.0,
Interest Expense Non Operating,208048000.0,180866000.0,162833000.0,186267000.0,
Interest Income Non Operating,,17759000.0,,15085000.0,6274000.0
Operating Income,282881000.0,286953000.0,235053000.0,135664000.0,
Operating Expense,134126000.0,105570000.0,95981000.0,92375000.0,
Other Operating Expenses,30416000.0,20222000.0,17493000.0,21649000.0,
Depreciation Amortization Depletion Income Statement,19405000.0,15419000.0,14344000.0,13185000.0,
Depreciation And Amortization In Income Statement,19405000.0,15419000.0,14344000.0,13185000.0,
Depreciation Income Statement,,,,,618629000.0
Selling General And Administration,84305000.0,69929000.0,64144000.0,57541000.0,
General And Administrative Expense,84305000.0,69929000.0,64144000.0,57541000.0,
Other Gand A,84305000.0,69929000.0,64144000.0,57541000.0,
Gross Profit,417007000.0,392523000.0,331034000.0,228039000.0,
Cost Of Revenue,1254835000.0,1234978000.0,1186352000.0,1062728000.0,
Total Revenue,1671842000.0,1627501000.0,1517386000.0,1290767000.0,
Operating Revenue,1671842000.0,1627501000.0,1517386000.0,1290767000.0,
